name,artists,uri,duration_ms
Take it Slow,"ZIKKI, Jaguar",spotify:track:6kOXoMSnQy63PNGn4Yp1zZ,229407
Lowkey,Toxic Lyrikali,spotify:track:5Nq4C0F1Y51E7T8JcStd3i,194400
Chinje,Toxic Lyrikali,spotify:track:3idc9sTmZiNlvOsH657MUJ,211558
Mfisadi,"Toxic Lyrikali, Dyana Cods",spotify:track:6KLlsMiq36ACibD65mpW1E,132272
Backbencher,"Toxic Lyrikali, Countree Hype",spotify:track:040zksag8ezHjbAN6aSAQY,173533
Thugnificent,Toxic Lyrikali,spotify:track:2CCFZkyQvT9Vvj8kcSY7TE,173772
Bud Flowers,Toxic Lyrikali,spotify:track:0a308sHmeeChMT54kbi0F8,184006
Kitemeo,Kapitani,spotify:track:1qHP2ZDJYJUrForxbHlUYP,174333
Single,Kapitani,spotify:track:3nnhDuvikTPDi1NBYMJ37q,162063
Mtu Wa Shughuli,"Dyana Cods, Domani Munga",spotify:track:7IBsocoOxbgFnxhU8stgRo,221250
Za Kimotho,Wakadinali,spotify:track:3GJgPwTAbniAIOpUxt1hBZ,270666
GENJE SANA,BURUKLYN BOYZ,spotify:track:64n1TOe9NxsNoNKyyKiwN7,249600
LAST DANCE,Wakadinali,spotify:track:3D7wEIwqXryatRi2xeFM3j,200000
Stima,BURUKLYN BOYZ,spotify:track:4yMmgQM500SeOmDKygvZ11,300000
Get Busy,"Dyana Cods, Toxic Lyrikali",spotify:track:7nVM0YkK2KwAV9uGUdY7dZ,154090
One Two Crew,"Virusi Mbaya, Scar Mkadinali",spotify:track:0IS5rfHtJFVflNgUvVMy5p,221714
Fresh,Nyashinski,spotify:track:4T6bGw578hemIIBSozohSq,164700
Sick,Toxic Lyrikali,spotify:track:4fWVwm8dVC413RDSfMTfbf,195977
Glitter Freestyle,Toxic Lyrikali,spotify:track:38YBVFTLGAfVELD5d8HldD,164804
Finya,Scar Mkadinali,spotify:track:2ASPcbPK9ocPjqyCqk3RT9,216122
Hate,Toxic Lyrikali,spotify:track:3WA3AqXHYpKdF9RWa21g9J,205333
Have Mercy,"Virusi Mbaya, Scar Mkadinali",spotify:track:0yImCsVFBhMKhh8wMUiVDE,209411
Morio Anzenza,Wakadinali,spotify:track:31Ys4I9upoed0vse7yVMHH,269714
Ikitoka,"Genes1s, Ouma Wa Mafegi",spotify:track:4uAX6U9MDdsvkCPEQtUpKQ,150000
Mariwanna,Wakadinali,spotify:track:0oqnkkgkPqNpK5pxrIjZ2J,247200
TOP SHOTTA,MAD G,spotify:track:4hFKzL5KlUdswv0Clptncy,165279
SINA NOMA,Charisma,spotify:track:7LLCXehO2o01x7x9pMd6pt,189103
TRUE LOVE,Charisma,spotify:track:7fYxFqeGTfr9IvVBrWAyvO,152777
